objectnummer,titel,probleem_bucket,geografisch_trefwoord,geo_detail_termen,geo_detail_sources,geo_detail_broader_terms
SK-A-4075,Surinaams landschap met een plantage van Jonas Witsen,mixed-no-coords,Suriname (Zuid-Amerika),Suriname (Zuid-Amerika),edit,Zuid-Amerika
SK-A-4481,De begrafenis van pastoor Joannes Vitus Janssen (1803-43) in Paramaribo,mixed-no-coords,Paramaribo (stad),Paramaribo (stad),edit,Paramaribo (district)
RP-P-1950-280,Portret van Johan Raye van Breukelerwaard,no-geo-details,,,,
RP-P-1910-1539,Portret van Johan Raye van Breukelerwaard,no-geo-details,,,,
RP-P-1938-1112,Surinamers en Hollanders drinken thee,no-geo-details,,,,
RP-P-1909-1779,Gezicht op Post Gelderland en Joden Savannah,mixed-no-coords,Suriname (Zuid-Amerika),Suriname (Zuid-Amerika),edit,Zuid-Amerika
RP-P-1911-322,Gezicht op de waterkant en reede van Paramaribo,mixed-no-coords,Suriname (Zuid-Amerika),Suriname (Zuid-Amerika),edit,Zuid-Amerika
RP-P-1911-321,Gouvernementshuis en plein te Paramaribo,mixed-no-coords,Paramaribo (stad),Paramaribo (stad),edit,Paramaribo (district)
RP-P-1909-1780,Gezicht op de synagoge en het kerkhof vanaf het Cordonpad gezien,mixed-no-coords,Suriname (Zuid-Amerika),Suriname (Zuid-Amerika),edit,Zuid-Amerika
RP-P-OB-65.081,Portret van Joan Jacob Mauricius,no-geo-details,,,,
RP-P-1931-1685,Oude huizen en water aan het Surinameplein te Amsterdam,mixed-no-coords,Amsterdam,Amsterdam,edit,
NG-NM-140,Fort Leyden (Suriname),mixed-no-coords,Suriname (Zuid-Amerika) | Commewijne | Fort Leyden,Suriname (Zuid-Amerika) | Commewijne | Fort Leyden,edit | edit | edit,Zuid-Amerika | Suriname (Zuid-Amerika) | Commewijne
NG-NM-141,Fort Leyden (Suriname),mixed-no-coords,Suriname (Zuid-Amerika) | Commewijne | Fort Leyden,Suriname (Zuid-Amerika) | Commewijne | Fort Leyden,edit | edit | edit,Zuid-Amerika | Suriname (Zuid-Amerika) | Commewijne
RP-T-1895-A-3085,Gezicht op Paramaribo,mixed-no-coords,Paramaribo (stad),Paramaribo (stad),edit,Paramaribo (district)
RP-F-1994-12-3,"Groepsportret van zes Surinaamse vrouwen en een kind, op de Koloniale Tentoonstelling, Amsterdam 1883",mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-4,"Groepsportret van Surinamers tentoongesteld op de Koloniale tentoonstelling, Amsterdam 1883",mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-5,"Groepsportret van de familie Ka-Ja-Roe op de Koloniale Tentoonstelling, Amsterdam 1883",mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-6,Portret van Jean Baptiste Ka-Ja-Roe,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-7,Portret van Jean Baptiste Ka-Ja-Roe,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-8,Portret van Aliha-Kama,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-9,Portret van Aliha-Kama,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-10,Portret van Awarahena,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-11,Portret van Awarahena,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-12,Portret van Pierre Miharoe,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-13,Portret van Pierre Miharoe,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-14,Portret van Kolleté,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-15,Portret van Kolleté,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-16,Portret van Johan Ali-Wa-Ja,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-17,Portret van Johan Ali-Wa-Ja,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-18,Portret van Majoera-Ka-Ma,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-19,Portret van Majoera-Ka-Ma,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-20,Portret van Maja-Roekama,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-21,Portret van Maja-Roekama,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-22,Portret van Hendrik Jawarina,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-23,Portret van Hendrik Jawarina,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-24,Portret van Johan Koemayara,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-25,Portret van Johan Koemayara,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-26,Portret van Marioetari,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-27,Portret van Marioetari,mixed-no-coords,Amsterdam,Amsterdam,edit,
RP-F-1994-12-31,Portret van Johan Hi-A-Lé,mixed-no-coords,Amsterdam,Amsterdam,edit,
