objectnummer,titel,map_ready_termen,regio
SK-A-1671,"Cornelis van Aerssen (1637-88), heer van Sommelsdijk. Sedert 1683 gouverneur van Suriname",Suriname (Zuid-Amerika),suriname
SK-A-2630,Portret van een man,Suriname (Zuid-Amerika),suriname
SK-A-2634,Portret van een vrouw,Suriname (Zuid-Amerika),suriname
SK-A-2635,Portret van een Surinaams meisje,Suriname (Zuid-Amerika),suriname
SK-A-2637,Portret van een Surinaams meisje,Suriname (Zuid-Amerika),suriname
SK-A-2641,Portret van Surinaams meisje,Suriname (Zuid-Amerika),suriname
SK-A-2252,Johan François Adriaan Cateau van Rosevelt (1823-91). Chef van het Bouwdepartement en Agent-generaal van de Immigratie in Suriname,Suriname (Zuid-Amerika),suriname
SK-A-4060,"Portret van Joan Jacob Mauricius, gouverneur van Suriname, dichter en toneelminnaar",Suriname (Zuid-Amerika),suriname
SK-A-4075,Surinaams landschap met een plantage van Jonas Witsen,Suriname (Zuid-Amerika),suriname
SK-A-4153,Daniel Francis Schas (1772-1848). Van 1814 tot 1820 lid van de Raad van de koophandel en koloniën,Suriname (Zuid-Amerika),suriname
RP-P-1992-358,Voor het volkskind - Suriname,Suriname (Zuid-Amerika),suriname
RP-T-1905-103,Gezicht op de molen en het kookhuis van plantage Waterland in Suriname,Suriname (Zuid-Amerika),suriname
RP-P-1909-1779,Gezicht op Post Gelderland en Joden Savannah,Suriname (Zuid-Amerika),suriname
RP-P-1909-1780,Gezicht op de synagoge en het kerkhof vanaf het Cordonpad gezien,Suriname (Zuid-Amerika),suriname
RP-P-1904-3844,Kankantri boom,Suriname (Zuid-Amerika),suriname
RP-P-1911-313,Gezicht op Paramaribo,Paramaribo (stad),suriname
RP-F-1994-12,Les Habitants de Suriname. Notes recueillies à l'Exposition Coloniale d'Amsterdam en 1883,Suriname (Zuid-Amerika),suriname
RP-F-1994-16,"Kolonie Suriname. Afbeeldingen betreffende cultuurgewassen, plantages, goudvelden, volkstypen enz.",Suriname (Zuid-Amerika),suriname
RP-T-1971-82,Rivierlandschap met op de voorgrond een hoen,Suriname (Zuid-Amerika),suriname
RP-T-00-1849,Wapen van de Geoctrooide Sociëteit van Suriname,Suriname (Zuid-Amerika),suriname
RP-F-1994-16-3,"Gekapte bomen moeten plaatsmaken voor landbouw, Suriname",Suriname (Zuid-Amerika),suriname
RP-F-1994-16-4,"Bananenveld, Suriname",Suriname (Zuid-Amerika),suriname
RP-F-1994-16-7,"Cacaobomen, Suriname",Suriname (Zuid-Amerika),suriname
RP-F-1994-16-8,"Cacaovruchten, Suriname",Suriname (Zuid-Amerika),suriname
RP-F-1994-16-9,"Portret van een onbekende vrouw op de overdekte markt aan de Heiligenweg, Paramaribo",Paramaribo (stad),suriname
RP-F-1994-16-10,"Verlaten plantage die opnieuw wordt gebruikt, Suriname",Suriname (Zuid-Amerika),suriname
RP-F-1994-16-11,"Goudwinning in het regenwoud door het bedrijf L. & F. de Jong, Suriname",Suriname (Zuid-Amerika),suriname
RP-F-1994-16-12,"Verplaatsbaar smalspoor voor goudwinning in het regenwoud door het bedrijf L. & F. de Jong, Suriname",Suriname (Zuid-Amerika),suriname
RP-F-1994-16-13,"Goudwassers, Suriname",Suriname (Zuid-Amerika),suriname
RP-F-1994-16-14,"Goudwassers in de groeve van L. & F. de Jong, Suriname",Suriname (Zuid-Amerika),suriname
RP-F-1994-16-15,"Uitgraven van een kwartsrif, Suriname",Suriname (Zuid-Amerika),suriname
RP-F-1994-16-17,Groepsportret van onbekende Surinamers in de Gouvernementstuin te Paramaribo,Paramaribo (stad),suriname
RP-F-1994-16-19,"Portret van een onbekend Surinaams bruidspaar, Paramaribo",Paramaribo (stad),suriname
RP-F-1994-16-20,"Groepsportret van drie onbekende Caraïben-vrouwen en een kind, Paramaribo",Paramaribo (stad),suriname
RP-F-1994-16-23,"Productie van bakstenen, Suriname",Suriname (Zuid-Amerika),suriname
NG-MC-83,Kistje met drie en twintig houtmonsters van Suriname,Suriname (Zuid-Amerika),suriname
NG-MC-84,Kistje met vier en veertig houtmonsters van Suriname,Suriname (Zuid-Amerika),suriname
RP-T-1957-252,Gezicht bij een hoeve in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-F00695,Album met 28 foto's van een Nederlands-Surinaamse familie,Suriname (Zuid-Amerika),suriname
RP-F-F00938,Fotoalbum met bezienswaardigheden in Paramaribo,Suriname (Zuid-Amerika),suriname
RP-F-F04145,Gebedsruimte met biddende mannen,Suriname (Zuid-Amerika),suriname
NG-478,Algemene kaart van Suriname,Suriname (Zuid-Amerika),suriname
NG-488-A,Narrative of a five years’ expedition against the revolted negroes of Surinam,Suriname (Zuid-Amerika),suriname
NG-488-B,Narrative of a five years’ expedition against the revolted negroes of Surinam,Suriname (Zuid-Amerika),suriname
RP-F-F24825,"Portret van drie onbekende Surinaamse Arowakken tegen geschilderde achtergrond, Paramaribo",Paramaribo (stad),suriname
RP-F-F24826,"Portret van vier onbekende Surinaamse Arowakken tegen geschilderde achtergrond, Paramaribo",Paramaribo (stad),suriname
RP-F-F00695-D,Portret van (vermoedelijk) een Surinaamse vrouw aangeduid als Marie,Paramaribo (stad),suriname
RP-F-F00695-Z,Vrouw met drie weken oude baby Gerard op een veranda,Paramaribo (stad),suriname
RP-F-F00695-AB,Portret van een kind met een speelgoedhond,Paramaribo (stad),suriname
RP-F-F00695-AA,Portret van (vermoedelijk) een Surinaamse vrouw in een lange jurk staand voor een muur,Paramaribo (stad),suriname
RP-F-F01154-O,"Groepsportret van Marrons en waarschijnlijk Caraïben, Suriname",Suriname (Zuid-Amerika),suriname
RP-F-F01154-P,Groepsportret van Marrons in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-F01154-AF,Veld met jonge bananenplanten in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-F01154-AG,Arbeiders spuiten grond af voor goudwinning in Surinaams bos,Suriname (Zuid-Amerika),suriname
RP-F-F01154-AH,Goudwinning in Surinaams bos,Suriname (Zuid-Amerika),suriname
RP-F-F01154-AI,"Groepsportret van gouverneur Warmolt Tonckens met gezelschap tijdens een bezoek van Marrons, ter gelegenheid van de Kroningsfeesten in Suriname in 1898",Suriname (Zuid-Amerika),suriname
RP-F-F01154-AJ,Gezicht op Paramaribo en de Surinamerivier,Paramaribo (stad),suriname
RP-T-1994-281-21,Gemanumitteerde vrouw,Suriname (Zuid-Amerika),suriname
RP-T-1994-281-25,Oude man met stok en hoed,Suriname (Zuid-Amerika),suriname
RP-T-1994-281-26,Tot slaaf gemaakte vrouw op weg naar de kerk,Suriname (Zuid-Amerika),suriname
RP-T-1994-281-27,Tot slaaf gemaakte vrouw danst de banja,Suriname (Zuid-Amerika),suriname
RP-T-1994-281-28,Jonge vrouw in koto misi,Suriname (Zuid-Amerika),suriname
RP-T-1994-281-29,Tot slaaf gemaakte jongen met een grote stengel suikerriet,Suriname (Zuid-Amerika),suriname
RP-T-1994-281-30,Een echtpaar en een jonge vrouw,Suriname (Zuid-Amerika),suriname
RP-T-1994-281-31(R),Vrouw in koto misi,Suriname (Zuid-Amerika),suriname
RP-T-1994-281-32,"Portret van Affie Anna Terzol, een tot slaaf gemaakt meisje",Suriname (Zuid-Amerika),suriname
RP-T-1994-281-33,Man met kar met bananen,Suriname (Zuid-Amerika),suriname
RP-T-1994-281-35,Vrouw in koto misi,Suriname (Zuid-Amerika),suriname
NG-501-94,Kaart van Suriname,Suriname (Zuid-Amerika),suriname
NG-539,Kaart van Suriname,Suriname (Zuid-Amerika),suriname
NG-707-10,"Jan Nepveu, Gouverneur Generaal, van Suriname",Suriname (Zuid-Amerika),suriname
NG-888-13,Koloniale Guides van Suriname,Suriname (Zuid-Amerika),suriname
BK-1994-90,Kelkglas met gezichten op twee plantages in Suriname: 's Gravenhage en Alida,Suriname (Zuid-Amerika),suriname
NG-1064,Gezigten uit Neerland's West-Indien,Suriname (Zuid-Amerika),suriname
SK-A-4900,Portret van Johannes Wesenhagen (1743-1803),Paramaribo (stad),suriname
NG-1994-53-A,Kop en schotel met antislavernij-afbeelding,Suriname (Zuid-Amerika),suriname
NG-1994-53-B,Kop en schotel met antislavernij-afbeelding,Suriname (Zuid-Amerika),suriname
NG-1994-63,Surinaamse Wilhelminadoek,Suriname (Zuid-Amerika),suriname
RP-P-1957-791,Wapenschild van de Sociëteit van Suriname,Suriname (Zuid-Amerika),suriname
NG-1983-1,Diorama van plantage Zeezigt in Suriname,Suriname (Zuid-Amerika),suriname
NG-1975-36,Eerste Rapport der Staatscommissie (...) tot het voorstellen van maatregelen ten aanzien van de slaven in de Nederlandsche koloniën; Suriname,Suriname (Zuid-Amerika),suriname
NG-1977-6-4,Het kinderhuis te Saron,Suriname (Zuid-Amerika),suriname
NG-1979-47,"Boek met de titel: 'De commandant van de negerjagers : historisch verhaal van de krijgstochten tegen de boschnegers in Suriname, 1772-1778'",Suriname (Zuid-Amerika),suriname
NG-1979-565-28,Creools-Surinaamse familie in het Park,Suriname (Zuid-Amerika),suriname
NG-1979-565-29,Verbroederingsfeest,Suriname (Zuid-Amerika),suriname
NG-1979-566-30,"Brasa, dag van de omhelzing",Suriname (Zuid-Amerika),suriname
RP-P-OB-67.703,"Gezicht op uitgebrande huizen in Paramaribo, 1821",Paramaribo (stad),suriname
NG-C-1998-7-1,"Diorama van een du, dansfeest op de plantage",Suriname (Zuid-Amerika),suriname
NG-C-1998-7-4,Waardigheidsstaf voor een dorpshoofd uit Suriname,Suriname (Zuid-Amerika),suriname
NG-2000-21,Borstbeeld van H.A.E. Arron,Suriname (Zuid-Amerika),suriname
NG-2000-62,Bankbiljet van tien gulden,Suriname (Zuid-Amerika),suriname
NG-1994-32-13,Cottomissie in Gala,Suriname (Zuid-Amerika),suriname
NG-1985-69,Verraden en verkwanseld,Suriname (Zuid-Amerika),suriname
NG-2002-54,Model nationaal slavernijmonument,Suriname (Zuid-Amerika),suriname
NG-2000-65-14,"Portret van R.M.F. Goelmohammed, engineer.  Geboren te Suriname, 1962",Suriname (Zuid-Amerika),suriname
NG-2000-65-31,"Portret van Glenn Ulrich Pont, audiotechnicus - geboren te Paramaribo",Suriname (Zuid-Amerika),suriname
NG-2000-65-54,"Portret van E.A. Faithfull, barkeeper - geboren te Suriname",Suriname (Zuid-Amerika),suriname
NG-2000-65-88,"Portret van L.M. Carbin, ICT-specialiste - geboren te Suriname",Suriname (Zuid-Amerika),suriname
NG-1992-19-43,President Venetiaan op bezoek,Suriname (Zuid-Amerika),suriname
RP-P-1911-330,Gezicht op gebouwen van de Evangelische Broedergemeente in Paramaribo,Paramaribo (stad),suriname
RP-P-1924-434,Plantage Libanon in Suriname,Suriname (Zuid-Amerika),suriname
RP-P-1974-94,Woningen van tot slaaf gemaakten op een Surinaamse plantage,Suriname (Zuid-Amerika),suriname
RP-P-1974-95,Arowakkenkamp in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-F01355,"Prinses Beatrix tijdens een bezoek aan Suriname, uitgedost als Hindostaanse",Suriname (Zuid-Amerika),suriname
RP-F-F01348,Het oudste lid der Caraiben biedt koningin Juliana bloemen aan tijdens een bezoek aan Suriname,Suriname (Zuid-Amerika),suriname
NG-2005-19-23,Filmvertoning over Suriname,Suriname (Zuid-Amerika),suriname
NG-2005-19-24,Filmvertoning,Suriname (Zuid-Amerika),suriname
NG-2005-19-25,Vrouw bij filmprojector,Suriname (Zuid-Amerika),suriname
NG-2005-19-26,Surinamer achter een tafeltje met affiches,Suriname (Zuid-Amerika),suriname
NG-2005-19-27,Suriname. Neerlands toekomst,Suriname (Zuid-Amerika),suriname
NG-2005-19-28,Filmvertoning van Suriname,Suriname (Zuid-Amerika),suriname
NG-2005-19-29,Filmvertoning van Suriname,Suriname (Zuid-Amerika),suriname
NG-2005-24,"Diorama van een du, dansfeest op de plantage",Suriname (Zuid-Amerika),suriname
NG-2006-53,Affiche voor  Democraties Volks Front (DVF) in het onafhankelijke Suriname,Suriname (Zuid-Amerika),suriname
RP-F-2006-104,Tafereel in kroeg in Paramaribo,Paramaribo (stad),suriname
NG-2006-89,Hendrik Maurits Wolf de Friderici (1818-1841),Suriname (Zuid-Amerika),suriname
NG-2006-90,Maria Gertruda Wolf de Friderici (1794-1885),Suriname (Zuid-Amerika),suriname
NG-2006-91,Hendrik Maurits Wolf de Friderici (1818-1841),Suriname (Zuid-Amerika),suriname
NG-2006-92,Jacob François de Friderici (1813/14-1847)?,Suriname (Zuid-Amerika),suriname
NG-2006-93,J.W. de Friderici of Jacob François de Friderici (1813/14-1847),Suriname (Zuid-Amerika),suriname
NG-2006-94,Friets de Friderici,Suriname (Zuid-Amerika),suriname
NG-2006-95,Friets de Friderici,Suriname (Zuid-Amerika),suriname
NG-2006-96,Een heer,Suriname (Zuid-Amerika),suriname
NG-2006-97,Een vrouw,Suriname (Zuid-Amerika),suriname
NG-2006-98,Jacob Jurriaan de Friderici,Suriname (Zuid-Amerika),suriname
NG-2006-99,Jacob François de Friderici (1756-1797),Suriname (Zuid-Amerika),suriname
NG-2006-100,"Gertruida Andrau, echtgenote van J.F. de Friderici (1767-1819)",Suriname (Zuid-Amerika),suriname
NG-2006-101,"Jurriaan François de Friderici (1751-1812), gouverneur-generaal van Suriname",Suriname (Zuid-Amerika),suriname
NG-2006-102,"Jurriaan François de Friderici (1751-1812), gouverneur-generaal van Suriname",Suriname (Zuid-Amerika),suriname
NG-2006-103,Familiewapen van het geslacht De Friderici,Suriname (Zuid-Amerika),suriname
NG-2006-104,Familiewapen van het geslacht De Friderici,Suriname (Zuid-Amerika),suriname
NG-2006-106,Geschiedkundige tijdtafel van Suriname,Suriname (Zuid-Amerika),suriname
NG-2006-107,Geschiedkundige atlas van Nederland - West-Indië,Suriname (Zuid-Amerika),suriname
NG-2006-108,Geschiedenis van Suriname,Suriname (Zuid-Amerika),suriname
NG-2006-109,Model van het gedenkteken voor de oud-gouverneur van Suriname Jurriaan François de Friderici,Suriname (Zuid-Amerika),suriname
NG-2007-63,Figuren uit een diorama,Suriname (Zuid-Amerika),suriname
NG-2007-63-A,Een Creool,Suriname (Zuid-Amerika),suriname
NG-2007-63-B,Een zittende Creool,Suriname (Zuid-Amerika),suriname
NG-2007-63-C,Een zittende Creool,Suriname (Zuid-Amerika),suriname
NG-2007-63-D,Een Creool,Suriname (Zuid-Amerika),suriname
NG-2007-63-E,Een Creoolse,Suriname (Zuid-Amerika),suriname
NG-2007-63-F,Een Creoolse,Suriname (Zuid-Amerika),suriname
NG-2007-63-G,Staande Arowak of Caraïb,Suriname (Zuid-Amerika),suriname
NG-2007-63-H,Staande Arowak,Suriname (Zuid-Amerika),suriname
NG-2007-63-I,Knielende Arowak of Caraïb,Suriname (Zuid-Amerika),suriname
NG-2007-63-J,Hurkende Caraïb,Suriname (Zuid-Amerika),suriname
NG-2007-63-K,Zittende Caraïb,Suriname (Zuid-Amerika),suriname
NG-2007-63-L,Knielende Arowak of Caraïb,Suriname (Zuid-Amerika),suriname
NG-2007-63-M,Een man,Suriname (Zuid-Amerika),suriname
NG-2007-63-N,Een man,Suriname (Zuid-Amerika),suriname
NG-2007-63-O,Hurkende Caraíb of Arowak,Suriname (Zuid-Amerika),suriname
NG-2007-63-P,Een boot,Suriname (Zuid-Amerika),suriname
NG-2007-63-Q,Een kruik,Suriname (Zuid-Amerika),suriname
NG-2007-63-R,Een trom,Suriname (Zuid-Amerika),suriname
NG-2007-63-S,Een trom,Suriname (Zuid-Amerika),suriname
NG-2008-4,Anton de Kom (1898-1945),Suriname (Zuid-Amerika),suriname
NG-2008-15,Testament van William Leckie,Suriname (Zuid-Amerika),suriname
NG-2009-1,Kaartspelend gezelschap in Suriname,Suriname (Zuid-Amerika),suriname
NG-2009-7,Pa in Suriname,Suriname (Zuid-Amerika),suriname
RP-P-OB-82.655,"Moord op Cornelis van Aerssen van Sommelsdijk, 1688",Suriname (Zuid-Amerika),suriname
RP-P-OB-82.656,"Moord op Cornelis van Aerssen van Sommelsdijk, 1688",Suriname (Zuid-Amerika),suriname
NG-2009-39-1,Elektriciteitsmast,Suriname (Zuid-Amerika),suriname
NG-2009-39-10,Familie Brouwers in Suriname,Suriname (Zuid-Amerika),suriname
NG-2009-39-15,Houtvlot van Marrons op de Surinamerivier,Suriname (Zuid-Amerika),suriname
NG-2009-39-21,Vader en zoon op veranda in Paramaribo,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2009-39-22,Boot op de Surinamerivier,Suriname (Zuid-Amerika),suriname
NG-2009-39-29,Portret van Henriëtte van Lierop,Suriname (Zuid-Amerika),suriname
NG-2009-39-30,Plantagehuis,Suriname (Zuid-Amerika),suriname
NG-2009-39-31,Mangroveboom,Suriname (Zuid-Amerika),suriname
NG-2009-39-32,Een familie in Suriname,Suriname (Zuid-Amerika),suriname
NG-2009-39-33,Boten op rivier,Suriname (Zuid-Amerika),suriname
NG-2009-39-37,Spoorlijn,Suriname (Zuid-Amerika),suriname
NG-2009-39-40,Vrouw op paard,Suriname (Zuid-Amerika),suriname
NG-2009-39-41,Dienstmeisje met kinderwagen,Suriname (Zuid-Amerika),suriname
NG-2009-39-47,Theodoor en Lize Brouwers met hun zoon Gerard in een korjaal op de Surinamerivier.,Suriname (Zuid-Amerika),suriname
NG-2009-39-76,"Gerard Brouwers, de pasgeboren zoon van Theodoor Brouwers",Suriname (Zuid-Amerika),suriname
NG-2009-39-91,Mangroveboom,Suriname (Zuid-Amerika),suriname
NG-2009-39-100,Plantage met gewas,Suriname (Zuid-Amerika),suriname
NG-2009-39-101,"Lize Brouwers, echtgenote van Theodoor Brouwers, met haar zoon Gerard en een Javaanse bediende in Paramaribo",Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2009-39-106,Interieur met vrouw in koto,Suriname (Zuid-Amerika),suriname
NG-2009-39-116,Een familie in Suriname,Suriname (Zuid-Amerika),suriname
NG-2009-39-118,Gezelschap in Suriname,Suriname (Zuid-Amerika),suriname
NG-2009-39-119,Duiker,Suriname (Zuid-Amerika),suriname
NG-2009-39-88,Lize Brouwers naast de piano in een huis in Paramaribo,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2009-39-89,Lize Brouwers,Suriname (Zuid-Amerika),suriname
NG-2009-45-4,"Zwarte Dinsdag in Paramaribo, 7 februari 1933",Paramaribo (stad),suriname
NG-2009-45-5,Familieportret van de familie Brouwers te Paramaribo,Paramaribo (stad),suriname
NG-2009-45-6,"Zwarte Dinsdag in Paramaribo, 7 februari 1933",Paramaribo (stad),suriname
NG-2009-45-8,Koninginnedag 1930 te Paramaribo,Paramaribo (stad),suriname
RP-F-2009-203,"Paramaribo, Poptjii-Djari 1975",Paramaribo (stad),suriname
NG-2009-45-9,"Zwarte Dinsdag in Paramaribo, 7 februari 1933",Paramaribo (stad),suriname
NG-2009-45-29,Spooraanleg te Suriname,Suriname (Zuid-Amerika),suriname
NG-2009-45-30,Aanleg van de Lawaspoorweg over de Witti Watra in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-F01203-F,Gouverneur Aarnoud van Heemstra (staand in donker pak) met een gezelschap bij treinwagons op weg naar de Maäboberg in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-F01203-J,Gezelschap in een treincoupé op de Lawaspoorlijn in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-F01203-K,Twee Marronvrouwen verkopen hun waren aan treinpassagiers,Suriname (Zuid-Amerika),suriname
RP-F-F01203-M,"Gezelschap in een boot in Suriname, na een zwempartij",Suriname (Zuid-Amerika),suriname
RP-F-F01203-N,Gezelschap badend in een rivier in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-F01203-P,Vrouw kijkt naar Marrons in een boot,Suriname (Zuid-Amerika),suriname
RP-F-F01203-S,Gezelschap in een auto onder een mangoboom in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-F01203-T,Bespreking met Marrons op straat in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-F01203-U,Gezelschap zittend op een trap bij een huis in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-F01203-V,Gezelschap staand tussen palmbomen in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-F01203-W,Gezelschap staand bij apen in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-F01203-X,Gezelschap zittend op banken in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-F01203-Y,Gezelschap maakt plezier op een pier in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-F01203-Z,Europese vrouw poserend met aap in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-F01203-AA,Europees gezelschap op een tennisbaan in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-F01203-AB,Groepsportret van een gezelschap zittend op een trap bij een tennisveld in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-F01203-AC,Groepsportret van tennisspelers in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-F01203-AD,Vrouw met tennisracket in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-F01203-AE,Gezelschap met tennisrackets op een tennisbaan in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-F01203-AF,Gezelschap met tennisrackets op een tennisbaan in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-F01203-AY,"Twee zittende vrouwen en een man leunend op een bank, mogelijk in Suriname",Suriname (Zuid-Amerika),suriname
RP-F-F01203-AZ,"Gezelschap van twee mannen en drie vrouwen zittend bij een put, vermoedelijk in Suriname",Suriname (Zuid-Amerika),suriname
RP-F-F01203-BA,"Lezende vrouw in een woonkamer, vermoedelijk in Suriname",Suriname (Zuid-Amerika),suriname
RP-F-F01203-BF,"Vrouw zittend bij een piano, mogelijk in Suriname",Suriname (Zuid-Amerika),suriname
RP-F-F01203-CF,"Gezelschap op een veranda, mogelijk in Suriname",Suriname (Zuid-Amerika),suriname
RP-F-F01203-CG,"Man en vrouw met jonge katten op een veranda, mogelijk in Suriname",Suriname (Zuid-Amerika),suriname
RP-F-F01203-CH,"Gezelschap waaronder leden van de familie Terlaak op een veranda tijdens een bamimaaltijd, mogelijk in Suriname",Suriname (Zuid-Amerika),suriname
RP-F-F01203-CM,"Zittende vrouw met vogel op de hand, mogelijk in Suriname",Suriname (Zuid-Amerika),suriname
RP-F-F01203-CP,"Groepsportret van vijf vrouwen in een rij achter elkaar, van groot naar klein, vermoedelijk in Suriname",Suriname (Zuid-Amerika),suriname
RP-F-F01203-CQ,"Gezelschap met drie kinderen, mogelijk op buitenplaats 'Veldlust' in Suriname",Suriname (Zuid-Amerika),suriname
RP-F-F01203-CV,"Erepoort in de Saramaccastraat te Paramaribo, opgericht ter gelegenheid van de opening van de Lawaspoorlijn (Landsspoorweg) op 28 maart 1905",Paramaribo (stad),suriname
RP-F-F01203-CX,"Erepoort in Paramaribo, opgericht ter gelegenheid van de opening van de Lawaspoorlijn (Landsspoorweg) op 28 maart 1905",Paramaribo (stad),suriname
RP-F-F01203-DF,"Gezelschap met drie kinderen in een tuin, mogelijk op buitenplaats 'Veldlust' in Suriname",Suriname (Zuid-Amerika),suriname
RP-F-F01203-DH,"Portret van een onbekende vrouw, zittend aan een bureau, mogelijk in Suriname",Suriname (Zuid-Amerika),suriname
RP-F-F01203-DL,"Portret van een Europese vrouw in koto, staand naast een piëdestal in Paramaribo",Paramaribo (stad),suriname
RP-F-F01203-DX,"Groep vrouwen en kinderen staand en zwemmend in een rivier, mogelijk in Suriname",Suriname (Zuid-Amerika),suriname
RP-F-2009-228,"Na de verkiezingsoverwinning van de NPK bij het beeld van Kwakoe, Paramaribo, 1973",Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
RP-F-F01311,Koningin Juliana speldt een onderscheiding op bij een militair op het Gouvernementsplein in Suriname,Paramaribo (stad),suriname
RP-F-F01354,Prinses Beatrix opent een ziekenhuis afdeling voor mensen die lijden aan kinderverlamming,Suriname (Zuid-Amerika),suriname
RP-F-F01310,Prinses Juliana met Amerikaanse vliegeniers voor een vliegtuig,Suriname (Zuid-Amerika),suriname
RP-F-F01312,Prinses Juliana loopt langs militaire troepen in Suriname,Suriname (Zuid-Amerika),suriname
RP-F-2009-206,"Paramaribo, ’s Landsweldadigheidsgesticht, 1975",Paramaribo (stad),suriname
RP-F-2009-226,"Mariënburg, Bejaardentehuis, 1975",Suriname (Zuid-Amerika),suriname
NG-2009-124,Fotoalbum van familie Boom-Gonggrijp in Suriname en Curaçao,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2009-130-4,Verkleed gezelschap poseert in een tuin,Suriname (Zuid-Amerika),suriname
NG-2009-130-5,Groepsfoto van een verkleed gezelschap,Paramaribo (stad),suriname
NG-2009-130-8,Het laatste saluut aan gouverneur Cornelis Lely bij zijn afscheid als gouverneur van Suriname (1902-1905),Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2009-131,Aanleg van de Lawaspoorweg in Suriname,Suriname (Zuid-Amerika),suriname
NG-2009-132-1,Portret van Jacob Evert Wesenhagen en Jan Palthe Wesenhagen,Suriname (Zuid-Amerika),suriname
NG-2009-132-2,Portret van Jacob Evert Wesenhagen,Suriname (Zuid-Amerika),suriname
NG-2009-132-3,Portret van Jacob Evert Wesenhagen,Suriname (Zuid-Amerika),suriname
NG-2009-132-5,Portret van vermoedelijk Jacqueline Frederika Robles,Suriname (Zuid-Amerika),suriname
NG-2009-132-7,Jacob Evert Wesenhagen met dochter Frida en zoon Wilhelm,Suriname (Zuid-Amerika),suriname
NG-2009-132-8,Portret van Jacob Evert Wesenhagen,Suriname (Zuid-Amerika),suriname
NG-2009-132-9,Interieur van de dienstwoning van geneesheer Jacob Evert Wesenhagen,Suriname (Zuid-Amerika),suriname
NG-2009-132-10,Woning van de geneesheer Wesenhagen in Paramaribo,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2009-132-11,Huiskamer in dienstwoning van geneesheer Jacob Evert Wesenhagen,Suriname (Zuid-Amerika),suriname
NG-2009-132-12,Interieur van de dienstwoning van geneesheer Jacob Evert Wesenhagen,Suriname (Zuid-Amerika),suriname
NG-2009-132-13,"Koninginnedag 1905 op het Gouvernementsplein bij buiten-sociëteit Het Park, Paramaribo",Paramaribo (stad),suriname
NG-2009-132-14,Een palmentuin of plantage in Suriname,Suriname (Zuid-Amerika),suriname
NG-2009-132-15,"Een officiële bijeenkomst, ergens in Suriname",Suriname (Zuid-Amerika),suriname
NG-2009-132-17,"De 'jaja', de kinderjuffrouw van de familie Wesenhagen, de 'nenne'",Suriname (Zuid-Amerika),suriname
NG-2009-132-18,Aanleg spoorweg in Suriname,Suriname (Zuid-Amerika),suriname
NG-2009-132-20,Rivieroever in Suriname,Suriname (Zuid-Amerika),suriname
NG-2009-132-21,Aanleg van een spoorweg bij de Sarakreek in Suriname,Suriname (Zuid-Amerika),suriname
NG-2009-132-22,Mamadam in de Sarakreek,Suriname (Zuid-Amerika),suriname
NG-2009-132-23,Aanleg spoorweg bij Kabelstation Zuid,Suriname (Zuid-Amerika),suriname
NG-2009-132-24,Groepsportret van lokale Surinaamse bevolking,Suriname (Zuid-Amerika),suriname
NG-2009-132-25,Riviergezicht met bedrijvigheid in Suriname,Suriname (Zuid-Amerika),suriname
NG-2009-132-26,Aanleg spoorweg langs de Sarakreek in Suriname,Suriname (Zuid-Amerika),suriname
NG-2009-132-28,"Laan met palmen, ergens in Suriname",Suriname (Zuid-Amerika),suriname
NG-2009-132-29,"Aanleg van de spoorweg bij Dam, Suriname",Suriname (Zuid-Amerika),suriname
NG-2009-132-31,Stadsgezicht in Suriname met spooraanleg,Suriname (Zuid-Amerika) | Paramaribo (stad),suriname | suriname
NG-2009-132-32,Hutjes in Suriname,Suriname (Zuid-Amerika),suriname
